,Unnamed: 0,Make,Model,Variant,Ex-Showroom_Price,car_cc,Cylinders,Valves_Per_Cylinder,wheel_drive,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,height_mm,lenght_mm,width_mm,Body_Type,Doors,City_Mileage,highway_mileage_km/l,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance_mm,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track_mm,Rear_Track_mm,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range,lt_front_tyre,pr_front_tyre,z_front_tyre(240 km/h),Front_Tyre_size,Front_rim_size,Power_bhp,Power_rpm,torque_nm,basic_warranty_years,basic_warranty_distance
0,0,Tata,Nano Genx,Xt,292667,624,2.0,2.0,RWD,In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.2,23.6,660.0,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,Only Front Windows,No,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,No,Yes,4,Fabric,MT,2230.0,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,135/70,12,37.5,5500.0,51.0,2.0,75000
1,1,Tata,Nano Genx,Xe,236447,624,2.0,2.0,RWD,In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.2,23.6,725.0,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,No,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,No,Yes,4,Fabric,MT,2230.0,No,Yes,No,No,Yes,,Internal,110 litres,,,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,135/70,12,37.5,5500.0,51.0,2.0,75000
2,2,Tata,Nano Genx,Emax Xm,296661,624,2.0,2.0,RWD,In-line,BS IV,"Rear, Transverse",Injection,15.0,CNG,1652.0,3164.0,1750.0,Hatchback,4.0,54.9,17.2,18.5,710.0,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,No,Yes,4,Fabric,MT,2230.0,No,Yes,No,No,Yes,,Internal,110 litres,,,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,135/70,12,37.5,5500.0,51.0,2.0,75000
3,3,Tata,Nano Genx,Xta,334768,624,2.0,2.0,RWD,In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.2,21.9,725.0,5.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,Only Front Windows,No,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,No,Yes,4,Fabric,AT,2230.0,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,Yes,Internal,94 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,135/70,12,37.5,5500.0,51.0,2.0,75000
4,4,Tata,Nano Genx,Xm,272223,624,2.0,2.0,RWD,In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.2,23.6,725.0,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,No,Yes,4,Fabric,MT,2230.0,No,Yes,No,No,Yes,,Internal,110 litres,,,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,135/70,12,37.5,5500.0,51.0,2.0,75000
5,5,Tata,Nano Genx,Xma,314815,624,2.0,2.0,RWD,In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.2,21.9,710.0,5.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,No,Yes,4,Fabric,AT,2230.0,No,Yes,No,No,Yes,,Internal,94 litres,,,Yes,Digital,Not on offer,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,135/70,12,37.5,5500.0,51.0,2.0,75000
6,6,Datsun,Redi-Go,D,279650,799,3.0,4.0,FWD,In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,1350.0,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1524.6,1522.9,80/155R13,80/155R13,No,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,MT,2348.0,No,Yes,No,No,Yes,,Internal,222 litres,,,Yes,,Not on offer,Yes,,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,80/155,13,53.3,5678.0,72.0,2.0,Unlimited
7,7,Datsun,Redi-Go,T,351832,799,3.0,4.0,FWD,In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,1350.0,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1524.6,1522.9,80/155R13,80/155R13,Electric Power,Only Front Windows,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,MT,2348.0,No,Yes,CD Player with USB & Aux-in,Yes,Yes,,Internal,222 litres,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,80/155,13,53.3,5678.0,72.0,2.0,Unlimited
8,8,Datsun,Redi-Go,A,333419,799,3.0,4.0,FWD,In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,1350.0,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1524.6,1522.9,80/155R13,80/155R13,Electric Power,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,MT,2348.0,No,Yes,No,No,Yes,,Internal,222 litres,,,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,80/155,13,53.3,5678.0,72.0,2.0,Unlimited
9,9,Datsun,Redi-Go,S,362000,799,3.0,4.0,FWD,In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,1350.0,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1524.6,1522.9,80/155R13,80/155R13,Electric Power,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,MT,2348.0,No,Yes,CD Player with USB & Aux-in,Yes,Yes,,"With Remote, Internal",222 litres,Yes,,Yes,,Not on offer,Yes,,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,80/155,13,53.3,5678.0,72.0,2.0,Unlimited
10,10,Datsun,Redi-Go,1.0 S,390000,999,3.0,4.0,FWD,In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,54.9,17.2,22.5,1350.0,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1524.6,1522.9,80/155R13,80/155R13,Electric Power,No,No,No,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,MT,2348.0,No,Yes,CD Player with USB & Aux-in,Yes,Yes,,"With Remote, Internal",222 litres,Yes,,Yes,,Front,Yes,Yes,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,80/155,13,67.1,5500.0,91.0,2.0,Unlimited
11,11,Datsun,Redi-Go,1.0 S Amt,437065,999,3.0,4.0,FWD,In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,54.9,17.2,23.0,1350.0,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1524.6,1522.9,155/80R13,155/80R13,Electric Power,Only Front Windows,No,Other,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,AT,2348.0,No,Yes,CD Player with USB & Aux-in,Yes,Yes,,"Internal, With Remote",222 litres,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Rear sensors,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,155/80,13,67.1,5500.0,91.0,2.0,Unlimited
12,12,Renault,Kwid,Rxe 0.8,353290,799,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,25.17,669.0,6.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,No,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,No,Yes,5,Fabric,MT,2422.0,No,No,No,No,No,,Internal,300 litres,,,Yes,,Front,,Front,Yes,,,Internal,Digital,Manual,Digital,Yes,,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,165/70,14,53.3,5678.0,72.0,2.0,50000
13,13,Renault,Kwid,Std 0.8,283290,799,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,25.17,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,No,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,No,Yes,5,Fabric,MT,2442.0,No,No,No,No,No,,Internal,300 litres,,,,,Front,,Front,Yes,,,Internal,Digital,Manual,Digital,Yes,,Yes,,Not Applicable,Heater,Yes,,Yes,,,,,,,,,,,,Yes,,,,Driver frontal airbag,,Yes,Yes,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,165/70,14,53.3,5678.0,72.0,2.0,50000
14,14,Renault,Kwid,Rxl 0.8,383290,799,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,25.17,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,Only Front Windows,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,No,Yes,5,Fabric,MT,2422.0,No,Yes,CD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,Yes,Yes,Yes,,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,165/70,14,53.3,5678.0,72.0,2.0,50000
15,15,Renault,Kwid,Rxt 0.8,413290,799,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1580.0,Hatchback,5.0,25.17,17.2,25.17,669.0,5.0,184.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,No,Yes,5,Fabric,MT,2422.0,No,Yes,CD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,Yes,,Yes,,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,,,Yes,,,,Touch Sensitive,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,165/70,14,53.3,5678.0,72.0,2.0,50000
16,16,Renault,Kwid,Rxt 1.0,433290,999,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,Only Front Windows,No,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,No,Yes,5,Fabric,MT,2422.0,No,Yes,CD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,165/70,14,67.1,5500.0,91.0,2.0,50000
17,17,Renault,Kwid,Climber 1.0 Mt,454490,999,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,Only Front Windows,No,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,No,Yes,5,Fabric,MT,2422.0,No,Yes,CD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,165/70,14,67.1,5500.0,91.0,2.0,50000
18,18,Renault,Kwid,Rxt Amt 1.0,463290,999,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,24.04,669.0,6.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,Only Front Windows,No,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,AT,2422.0,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,,0.0,0.0,0.0,165/70,14,67.1,5500.0,91.0,2.0,Unknown
19,19,Renault,Kwid,Climber Amt 1.0,484490,999,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,24.04,669.0,6.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,Only Front Windows,No,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,AT,2422.0,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,0.0,0.0,0.0,165/70,14,67.1,5500.0,91.0,2.0,Unknown
20,20,Renault,Kwid,Rxt (O) 1.0,440990,999,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,Only Front Windows,No,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,No,Yes,5,Fabric,MT,2422.0,No,Yes,CD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,165/70,14,67.1,5500.0,91.0,2.0,50000
21,21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,Only Front Windows,No,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,No,Yes,5,Fabric,AT,2422.0,No,Yes,CD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,165/70,14,67.1,5500.0,91.0,2.0,50000
22,22,Renault,Kwid,Climber (O) Mt 1.0,462190,999,3.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,28.0,Petrol,1490.0,3731.0,1579.0,Hatchback,5.0,25.17,17.2,23.01,669.0,5.0,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1524.6,1522.9,165/70 R14,165/70 R14,Electric Power,All Windows,No,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,No,Yes,5,Fabric,MT,2422.0,No,Yes,CD Player with USB & Aux-in,Yes,No,Yes,Internal,300 litres,,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,165/70,14,67.1,5500.0,91.0,2.0,50000
